mir,gene
hsa-let-7,HMGA2
hsa-let-7,NRAS
hsa-let-7,KRAS
hsa-let-7,IGF1R
hsa-let-7,SOCS4
hsa-let-7a-1,c-MYC
hsa-let-7a-1,CSN6
hsa-let-7a-1,CSN8
hsa-let-7a-1,CSN1
hsa-let-7a-1,STAT-1
hsa-let-7a,TRIM71
hsa-let-7a,NF2
hsa-let-7a,p27
hsa-let-7a,WAF1
hsa-let-7a,caspase-3
hsa-let-7a,NIRF
hsa-let-7b,THBS1
hsa-let-7b,TYMS
hsa-let-7b,ANAPC1
hsa-let-7b,RHOG
hsa-let-7b,F2
hsa-let-7b,MTRR
hsa-let-7b,COMMD9
hsa-let-7b,SPCS3
hsa-let-7b,ATP6V1F
hsa-let-7b,POLR2C
hsa-let-7b,DUSP12
hsa-let-7b,HMGA1
hsa-let-7b,PRIM1
hsa-let-7b,TAF9B
hsa-let-7b,SLC1A4
hsa-let-7b,UHRF1
hsa-let-7b,IPO4
hsa-let-7b,IFIT5
hsa-let-7b,MRPS24
hsa-let-7b,DOCK5
hsa-let-7b,LIN28
hsa-let-7b,GTPBP3
hsa-let-7b,CAPG
hsa-let-7b,VPS39
hsa-let-7b,SLC25A1
hsa-let-7b,DSP
hsa-let-7b,CALCOCO2
hsa-let-7b,FAM96A
hsa-let-7b,CSNK1D
hsa-let-7b,CDIPT
hsa-let-7b,SLC25A32
hsa-let-7b,AARSD1
hsa-let-7b,SNAP23
hsa-let-7b,PXDN
hsa-let-7b,TRMT1
hsa-let-7b,POLD2
hsa-let-7b,CDKAL1
hsa-let-7b,CCNA1
hsa-let-7b,POM121B
hsa-let-7b,FADS2
hsa-let-7b,MARS2
hsa-let-7b,SCYL1
hsa-let-7b,CHMP2A
hsa-let-7b,DUSP23
hsa-let-7b,MRM1
hsa-let-7b,SPRYD4
hsa-let-7b,GYS1
hsa-let-7b,GPR56
hsa-let-7b,ATP6V0A1
hsa-let-7b,RHOB
hsa-let-7b,AKAP8
hsa-let-7b,UGT8
hsa-let-7b,NXN
hsa-let-7b,RRP8
hsa-let-7b,AURKB
hsa-let-7b,SIGMAR1
hsa-let-7b,ATAD3B
hsa-let-7b,ACTG1
hsa-let-7b,RPP38
hsa-let-7b,TMEM2
