miRNA,Gene
hsa-let-7a,BSDC1
hsa-let-7a,HMGN2
hsa-let-7a,SLC35A4
hsa-let-7a,UBE2Q1
hsa-let-7a,B4GALNT3
hsa-let-7a,USP14
hsa-let-7a,HOXC4
hsa-let-7a,PTGES2
hsa-let-7a,HSF2
hsa-let-7a,FAM171A2
hsa-let-7a,CAND2
hsa-let-7a,TMEM241
hsa-let-7a,S100PBP
hsa-let-7a,AIDA
hsa-let-7a,RANBP2
hsa-let-7a,MAPK11
hsa-let-7a,BMPR1B
hsa-let-7a,ADSL
hsa-let-7a,SNX2
hsa-let-7a,MTUS1
hsa-let-7a,PIGN
hsa-let-7a,HOXA6
hsa-let-7a,DHX57
hsa-let-7a,WIPI2
hsa-let-7a,PCIF1
hsa-let-7a,UBOX5
hsa-let-7a,PEX14
hsa-let-7a,TMX2
hsa-let-7a,RAVER1
hsa-let-7a,BCL2L11
hsa-let-7a,G2E3
hsa-let-7a,BAZ1B
hsa-let-7a,DYNC2H1
hsa-let-7a,CDC25B
hsa-let-7a,TTC26
hsa-let-7a,LRRC42
hsa-let-7a,NME4
hsa-let-7a,GGPS1
hsa-let-7a,LARP1
hsa-let-7a,MTHFD1
hsa-let-7a,WDR46
hsa-let-7a,TRRAP
hsa-let-7a,ARRDC3
hsa-let-7a,MAP3K1
hsa-let-7a,EZH2
hsa-let-7a,HOXB4
hsa-let-7a,AMPD2
hsa-let-7a,SF3A1
hsa-let-7a,F2R
hsa-let-7a,SNX6
hsa-let-7a,GADD45GIP1
hsa-let-7a,MCM3AP
hsa-let-7a,KDM6B
hsa-let-7a,AGO2
hsa-let-7a,ANGEL2
hsa-let-7a,RPL35A
hsa-let-7a,FNIP1
hsa-let-7a,ATP2B1
hsa-let-7a,TAF5
hsa-let-7a,ASCC3
hsa-let-7a,BPTF
hsa-let-7a,PAQR5
hsa-let-7a,SPTBN1
hsa-let-7a,MIB1
hsa-let-7a,RPS24
hsa-let-7a,WDR6
hsa-let-7a,CYP2R1
hsa-let-7a,TCERG1
hsa-let-7a,GBF1
hsa-let-7a,CSNK2A1
hsa-let-7a,TAB2
hsa-let-7a,QKI
hsa-let-7a,UBA6
hsa-let-7a,ALDH7A1
hsa-let-7a,ILKAP
hsa-let-7a,DPH5
hsa-let-7a,CNBP
hsa-let-7a,TRIO
hsa-let-7a,NDUFAF7
hsa-let-7a,NFATC2IP
hsa-let-7a,PREB
hsa-let-7a,BIRC6
hsa-let-7a,MYO9A
hsa-let-7a,RAB13
hsa-let-7a,SMG7
hsa-let-7a,SLC35C1
hsa-let-7a,GTF3C1
hsa-let-7a,NPTX1
hsa-let-7a,MRPS2
hsa-let-7a,DHX9
hsa-let-7a,NUPL1
hsa-let-7a,UNK
hsa-let-7a,COPZ1
hsa-let-7a,UHRF1
hsa-let-7a,TSPAN3
hsa-let-7a,KCTD1
hsa-let-7a,PLOD1
hsa-let-7a,RBFOX2
hsa-let-7a,COX14
hsa-let-7a,KPNA6
hsa-let-7a,C7orf60
hsa-let-7a,C2CD4A
hsa-let-7a,DSC3
hsa-let-7a,PDE4DIP
hsa-let-7a,SEL1L3
hsa-let-7a,PALD1
hsa-let-7a,METTL6
hsa-let-7a,CRYBG3
hsa-let-7a,ZNF264
hsa-let-7a,CTDP1
hsa-let-7a,ATXN2L
hsa-let-7a,BCOR
hsa-let-7a,IARS
